Step,AgentID,Loudness,Voice
2,13,-0.7092586111180201,-1
2,14,0.0,0
2,15,-1.3612157144633752,2
2,16,-1.3612157144633752,2
2,17,-1.3612157144633752,2
2,18,-2.355193080462629,1
2,19,0.024355234423579297,1
2,20,-1.3612157144633752,2
2,21,-1.3612157144633752,2
2,22,-1.352029532396468,-1
2,23,-1.3612157144633752,2
2,24,-1.3612157144633752,2
2,25,-1.3612157144633752,1
2,26,-1.3612157144633752,2
2,27,-1.3612157144633752,2
2,28,-1.3612157144633752,2
2,29,-1.3612157144633752,2
2,30,-0.6597671384156198,0
2,31,-3.5304966496704386,0
2,32,-1.3612157144633752,2
2,33,-0.5654360489988807,-1
2,34,-1.3612157144633752,2
2,35,0.2114164904862579,1
2,36,-1.8254236487999005,1
2,37,-1.3612157144633752,2
2,38,-1.3612157144633752,2
2,39,-0.6404730207685609,0
2,40,-1.3612157144633752,2
2,41,-1.3612157144633752,2
2,42,-1.3612157144633752,2
2,43,-1.3612157144633752,2
2,44,-1.8254236487999005,0
2,45,-1.3612157144633752,2
2,46,-1.3612157144633752,2
2,47,-1.3612157144633752,2
2,48,-0.5632965501803258,1
2,49,-1.3612157144633752,2
2,50,-2.5762566297724163,0
2,51,-0.04317417734112654,0
2,52,-1.3612157144633752,2
2,53,-1.4418708374580278,-1
2,54,-1.3612157144633752,2
2,55,-1.3612157144633752,2
2,56,-1.3612157144633752,2
2,57,-1.3612157144633752,2
2,58,-1.3612157144633752,2
2,59,-3.270844865066534,1
2,60,-0.5054141972391493,1
2,61,-1.3612157144633752,2
2,62,-3.309433100360651,1
2,63,-1.3612157144633752,1
2,64,0.602359960203955,1
2,65,-1.3612157144633752,2
2,66,-1.3612157144633752,2
2,67,-0.9444996010446463,-1
2,68,0.2114164904862579,0
2,69,-1.3612157144633752,2
2,70,-3.309433100360651,1
2,71,-1.3612157144633752,2
2,72,-1.3612157144633752,2
2,73,0.4673011366745431,0
2,74,-3.0103742768312403,1
2,75,-1.3612157144633752,2
2,76,-1.3612157144633752,1
2,77,-2.3262519039920404,1
2,78,-1.3612157144633752,2
2,79,-1.3612157144633752,2
2,80,-1.3612157144633752,2
2,81,-1.4974236487999004,1
2,82,-1.3612157144633752,2
2,83,-1.3612157144633752,2
2,84,-1.3612157144633752,2
2,85,-1.3612157144633752,2
2,86,-1.3612157144633752,2
2,87,-1.3612157144633752,2
2,88,-1.3612157144633752,2
2,89,-0.9704972851635368,-1
2,90,-1.3612157144633752,2
2,91,-1.3612157144633752,2
2,92,-1.3612157144633752,2
2,93,-1.7386001193881355,1
2,94,-1.3612157144633752,2
2,95,-1.3612157144633752,2
2,96,-1.3612157144633752,2
2,97,-1.3612157144633752,2
2,98,-1.3612157144633752,2
2,99,0.2114164904862579,1
