,rounds,reward,NagentsIn,thoryvos,realThoryvos,aIV,aEV,aFN,aBN,stdii,stdfi,stdbi,stdei,stdsel,Eii,Efi,Ebi,Eei,Esel,stdii_real,Eii_real
1807,1807,31.194729966964218,28,-28.000337474714343,-27.28931925667942,6.0,6.0,5.0,83.0,1.4323922101918036,1.5619908828140918,0.25562874569246913,0.0,0.6139410383811631,-0.20534261362300732,-0.2663867476632045,-0.1816923395544778,-0.736671933091251,-0.28000337474714354,0.0,0
1808,1808,20.53426136230075,28,-31.492451217878465,-28.361636091828043,7.0,6.0,9.0,78.0,1.4866918434179854,1.4530570929559485,0.2865109073339058,0.0,0.499109140215106,-0.336054690049933,-0.12399832054560951,-0.28899114852027763,-0.7175845816587503,-0.31492451217878453,0.0,0
1809,1809,33.60546900499331,56,-112.68633188820726,-103.20073168370827,8.0,8.0,10.0,74.0,1.4113824449998393,1.5064671047523344,0.2722665039489475,0.0,0.6929365703726067,-1.1564654539877302,-1.209300411724608,-1.0729245390252216,-1.4590327880027267,-1.1268633188820723,0.0,0
1810,1810,115.64654539877311,28,-22.410957336375034,-25.689645860965207,5.0,3.0,4.0,88.0,1.3974395065299237,1.4156268126041822,0.2751440614441642,0.0,0.4888504597941778,-0.1926889044511645,-0.21580237077121686,-0.20033302083222804,-0.5995776610607105,-0.2241095733637505,0.0,0
1811,1811,19.26889044511643,28,-33.44581973867112,-23.921969307756466,8.0,13.0,9.0,70.0,1.4727476033752196,1.4982907950145323,0.3021579072144803,0.0,0.7294310703774135,-0.2532250869551787,-0.24315762456367962,-0.22867609341117598,-0.7054336020758039,-0.3344581973867111,0.0,0
1812,1812,25.32250869551787,28,-21.240936302484677,-20.52552199460848,6.0,7.0,7.0,80.0,1.3846147116570977,1.3861702030371583,0.26384054288021275,0.0,0.576101767195487,-0.17730412553088679,-0.0026463052821647406,-0.17974867961140356,-0.6678563108771394,-0.21240936302484675,0.0,0
1813,1813,17.730412553088684,28,-34.1197177822178,-39.68777972027973,10.0,8.0,5.0,77.0,1.4875684077497293,1.7214267539676298,0.318706367929843,0.0,0.6804020144835937,-0.3180609390609391,-0.5789863136863137,-0.3056184315684316,-0.7955744255744256,-0.34119717782217784,0.0,0
1814,1814,31.806093906093906,28,-22.473680368008687,-21.640576978245594,7.0,6.0,4.0,83.0,1.394856024234154,1.5648072134323914,0.25825154649869386,0.0,0.5190225836472546,-0.2055480969867299,-0.3425483069744011,-0.20165288383068417,-0.667622870626914,-0.22473680368008694,0.0,0
1815,1815,20.554809698672997,28,-22.716201383120765,-22.225959894397683,8.0,8.0,11.0,73.0,1.4303999139170247,1.4958819661103795,0.30268186642846606,0.0,0.6284033022701977,-0.26011565229642153,-0.4583771922280618,-0.2413968732894753,-0.7300371935756551,-0.22716201383120782,0.0,0
1816,1816,26.011565229642123,97,-91.30289548457775,-92.58869318635675,5.0,6.0,10.0,79.0,2.0063251351623848,1.837911290562341,0.36297382617698315,0.0,0.7192949852406593,-1.0857259281320963,-1.0282081065352093,-0.9897865752056874,-1.0740789200415368,-0.9130289548457773,0.0,0
1817,1817,108.57259281320967,9,54.94163125832858,51.70640567294879,7.0,11.0,3.0,79.0,1.0587708513834575,0.8176068464848139,0.20973781771327543,0.0,0.2451485180076652,0.6031773462783172,0.8863561393489435,0.5893525985151342,0.2940491147915477,0.5494163125832858,0.0,0
1818,1818,-60.31773462783173,28,-33.4070074152386,-32.13961215478151,16.0,6.0,5.0,73.0,1.5285920539394435,1.5286266295068118,0.2794098595661791,0.0,0.6985716759289755,-0.34633082473104304,-0.31446447211382766,-0.3521825945397262,-0.7901943093171673,-0.3340700741523861,0.0,0
1819,1819,34.633082473104295,28,-17.06292183353285,-15.945478925083478,4.0,4.0,7.0,85.0,1.3520082287290236,1.4058770290120342,0.24624797582334051,0.0,0.522758679931992,-0.06109868464494987,-0.0777620886579868,-0.12145171561968367,-0.676828378804108,-0.17062921833532854,0.0,0
1820,1820,6.109868464494989,28,-30.35340868113524,-25.02799966611019,8.0,6.0,4.0,82.0,1.4323624167167688,1.3807460642922733,0.27780637438834677,0.0,0.6017168482184738,-0.30280547579298833,-0.10994944908180297,-0.24215108180300499,-0.7347779632721202,-0.30353408681135224,0.0,0
1821,1821,30.28054757929884,28,-18.947869596168402,-22.188468993638697,8.0,6.0,9.0,77.0,1.421653763982173,1.5243570132239717,0.25875929508605966,0.0,0.7136195173240114,-0.15437965978142637,-0.4295964138661564,-0.12599789459147004,-0.6930768310809656,-0.18947869596168412,0.0,0
1822,1822,15.43796597814263,28,-31.628590761387255,-31.48518388480039,6.0,10.0,6.0,78.0,1.4930420630364596,1.4995712913294286,0.3147767000185888,0.0,0.6168727863170127,-0.2778730884302087,-0.2290296348825936,-0.2977688033938868,-0.7472969108579293,-0.3162859076138725,0.0,0
1823,1823,27.787308843020895,28,-28.856671086213826,-25.779224040393892,10.0,6.0,8.0,76.0,1.471820221385625,1.6151449667869395,0.28532041358844346,0.0,0.6958458596205159,-0.32754875,-0.41966155144694534,-0.3203858536977492,-0.70428125,-0.28856671086213825,0.0,0
1824,1824,32.754875,28,-31.962080085299203,-34.018431731307466,8.0,8.0,8.0,76.0,1.4755301433189778,1.551819196837317,0.24533830392780365,0.0,0.6097814274224055,-0.301571837398374,-0.5190701479408237,-0.2671191306677329,-0.769769905371185,-0.31962080085299216,0.0,0
1825,1825,30.157183739837375,28,-28.654569236290673,-30.652087023045933,9.0,15.0,6.0,70.0,1.4632322547028462,1.4688116069911588,0.27649629886709154,0.0,0.6774886525736495,-0.2558036101729749,-0.06281866043355698,-0.18326393500019938,-0.6963854466704089,-0.28654569236290683,0.0,0
1826,1826,25.580361017297484,28,-18.130635304126713,-15.217942986875183,8.0,4.0,7.0,81.0,1.4079740804634693,1.528341074165084,0.2510680185115919,0.0,0.5645691035509567,-0.22210465209203623,-0.28179137592286346,-0.17731310264376277,-0.6893003348914868,-0.18130635304126716,0.0,0
1827,1827,22.210465209203615,28,-27.943120502237754,-29.199140029153842,8.0,7.0,8.0,77.0,1.4332500322718105,1.5413357569552093,0.26111892827453453,0.0,0.614443732135469,-0.22249754445616512,-0.12490278586278585,-0.21990906779458502,-0.7532608652608651,-0.2794312050223774,0.0,0
1828,1828,22.249754445616514,28,-42.21829408686552,-35.31668236525378,8.0,8.0,9.0,75.0,1.5041290589123733,1.5928473195720918,0.29361914841460873,0.0,0.6987862581538645,-0.31621761730333164,-0.42403226931798366,-0.27768808826094543,-0.8096999825571254,-0.4221829408686552,0.0,0
1829,1829,31.62176173033315,28,-25.954586249901332,-25.44028298997553,5.0,3.0,10.0,82.0,1.4480859170343992,1.6371701763478854,0.28776386892723105,0.0,0.6858042094717084,-0.22973196937406268,-0.3566701049806615,-0.2394463031020602,-0.7689481411318967,-0.25954586249901335,0.0,0
1830,1830,22.973196937406296,28,-10.192436292823661,-17.81654976800096,10.0,10.0,12.0,68.0,1.3882393687770802,1.470151591859905,0.28701218142675194,0.0,0.5876204216052107,-0.1547659319629763,-0.22113512826060824,-0.1405942005529511,-0.7171539367712465,-0.10192436292823656,0.0,0
